Id,SalePrice
1461,118532.56864408901
1462,157105.78555403822
1463,182670.50514572515
1464,189367.3454448569
1465,185977.72544980166
1466,172847.40903430834
1467,168120.96643294586
1468,157633.44997705237
1469,195362.18890906757
1470,124235.05352826626
1471,201812.78801907512
1472,98187.95128537585
1473,98923.39837518887
1474,152183.84480796097
1475,124466.99353822976
1476,397564.224184123
1477,256438.11791011423
1478,286260.1852625492
1479,294227.43815300474
1480,492923.91699285374
1481,330518.63219020225
1482,204482.84991348526
1483,172931.36074228064
1484,167317.11035672785
1485,188391.68841033528
1486,201359.84961651603
1487,375445.4159531721
1488,235581.24798500416
1489,212739.0894707259
1490,216873.7196854967
1491,197143.07490468214
1492,91782.43560360091
1493,187086.16598918682
1494,301563.8290431821
1495,298903.8290070575
1496,237983.94725142216
1497,182329.2322998944
1498,161571.66900578752
1499,159516.1173850165
1500,151931.53206807812
1501,166877.3312791301
1502,158208.83862214442
1503,310306.787156075
1504,251040.42840759037
1505,223006.21047012755
1506,178690.07254307304
1507,253671.563633491
1508,194787.16331437952
1509,153227.48425916652
1510,147242.45073121914
1511,150121.68339937547
1512,167123.47939815169
1513,138840.68109326906
1514,156046.17781057363
1515,201377.00397303683
1516,147985.01102491404
1517,163148.53211806514
1518,127332.64346504209
1519,219206.3633788068
1520,132021.96211428355
1521,133600.4349431045
1522,166066.79373456552
1523,113744.43477308561
1524,120030.5816314175
1525,120039.95113060475
1526,116476.39474895122
1527,112223.90501606249
1528,139429.72875772076
1529,150059.1195827829
1530,171923.57916875818
1531,114967.75743004808
1532,97111.97969213671
1533,147764.8670439197
1534,129595.98007233288
1535,150186.56772764275
1536,105979.43931110893
1537,78474.48617869787
1538,164347.55960423648
1539,213428.36612623988
1540,103714.93571813985
1541,136850.9440485748
1542,136633.83208710924
1543,211491.1320745222
1544,83693.20016055397
1545,105617.11137483512
1546,130532.83082154059
1547,127863.00629840164
1548,126992.7397654379
1549,113746.60477959963
1550,137993.21687703262
1551,116602.11819742015
1552,149638.91511081858
1553,155824.37430466517
1554,114078.12887735499
1555,169759.70312457485
1556,85149.99566849983
1557,104440.65042972237
1558,95558.60303784205
1559,79551.5334920204
1560,131053.11614688879
1561,129502.43118892932
1562,130331.65686420177
1563,120129.6843871281
1564,161575.83650552135
1565,149968.76891066838
1566,241729.33728634357
1567,75673.83322043814
1568,222066.38540225552
1569,139080.73240789998
1570,141743.96920089744
1571,130517.39104684742
1572,146050.21089140238
1573,254234.34814591083
1574,117239.1282842471
1575,223114.6020151198
1576,230055.99366709986
1577,193679.10492159528
1578,142578.09269681948
1579,145149.54441760134
1580,192066.5691628725
1581,157267.3997264167
1582,126869.41749171361
1583,326489.0230425057
1584,226755.05229777255
1585,143573.18041276067
1586,79706.73865269298
1587,97084.34488071292
1588,156160.98876796965
1589,99308.02689331763
1590,133212.30545045616
1591,90634.92311620852
1592,119999.04144286332
1593,130258.60437099144
1594,158128.96065009345
1595,111816.65726552044
1596,240601.7941638615
1597,196161.78708249194
1598,210951.19116723276
1599,188727.31290075654
1600,179983.00379041198
1601,80651.33758186376
1602,117664.36058284166
1603,82833.52337511996
1604,277559.68004214735
1605,256191.21212477604
1606,167641.90420430008
1607,172224.74466377986
1608,212281.9281275081
1609,197521.38102738545
1610,139150.74314455266
1611,136871.5208447215
1612,157493.44145556807
1613,157783.85391910322
1614,133338.42924205764
1615,94030.30435926343
1616,72102.91547564561
1617,95186.87475455781
1618,124120.47604697375
1619,145038.54921192734
1620,171242.15240140632
1621,137891.87041198384
1622,138041.04685770493
1623,275443.046614903
1624,211097.82569402916
1625,127946.03881420914
1626,158032.1324010391
1627,185185.37000157774
1628,291270.32215112244
1629,178125.49282235175
1630,378928.61991794256
1631,226382.20969284239
1632,228041.86532686182
1633,176097.52500518347
1634,182625.78270853354
1635,178307.74694552147
1636,155222.94964629714
1637,191857.03999455145
1638,209786.2681325775
1639,181515.69110410308
1640,248781.31031502935
1641,178140.9269104598
1642,225786.24993271206
1643,228827.8336083484
1644,233877.78711094786
1645,190592.31267232684
1646,156844.21698097262
1647,167799.20823633287
1648,130067.65878581148
1649,142615.3453668296
1650,124351.43291196146
